"Domaine","Permission","Action","Portée","Inclut aussi","organization.owner","organization.admin","organization.user","workspace.admin","workspace.member","workspace.viewer","workspace.knowledge_editor","workspace.agent_user","Références du code"
"Organisation et projets","roles.revoke","Retirer des attributions à des membres ou équipes moins privilégiés.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/components/iam/access-console.access-console.view.section-1.section-3.branch-2.tsx](../src/components/iam/access-console.access-console.view.section-1.section-3.branch-2.tsx)<br>[src/components/iam/access-console.access-console.view.section-1.section-3.branch-5.branch-1.tsx](../src/components/iam/access-console.access-console.view.section-1.section-3.branch-5.branch-1.tsx)<br>[src/components/iam/person-project-role.tsx](../src/components/iam/person-project-role.tsx)<br>[src/components/iam/principal-project-assignments.tsx](../src/components/iam/principal-project-assignments.tsx)<br>[src/modules/iam/member-transfer.member-transfer-modes.ts](../src/modules/iam/member-transfer.member-transfer-modes.ts)<br>[src/modules/iam/resource-direct-sharing.ts](../src/modules/iam/resource-direct-sharing.ts)<br>[src/modules/iam/use-cases.remove-role-assignment.ts](../src/modules/iam/use-cases.remove-role-assignment.ts)<br>[src/modules/iam/use-cases.validate-assignment-principal.ts](../src/modules/iam/use-cases.validate-assignment-principal.ts)"
"Organisation et projets","members.create","Ajouter un compte à l’organisation.","Organisation","—","Oui","Oui","—","—","—","—","—","—","[src/components/iam/access-console.access-console.view.section-1.section-3.branch-5.branch-2.tsx](../src/components/iam/access-console.access-console.view.section-1.section-3.branch-5.branch-2.tsx)<br>[src/modules/iam/member-transfer.list-member-transfer-destinations.ts](../src/modules/iam/member-transfer.list-member-transfer-destinations.ts)<br>[src/modules/iam/member-transfer.member-transfer-modes.ts](../src/modules/iam/member-transfer.member-transfer-modes.ts)<br>[src/modules/iam/use-cases.add-organization-member.ts](../src/modules/iam/use-cases.add-organization-member.ts)<br>[src/modules/iam/use-cases.create-member-account.ts](../src/modules/iam/use-cases.create-member-account.ts)<br>[src/modules/iam/use-cases.get-access-console-snapshot.ts](../src/modules/iam/use-cases.get-access-console-snapshot.ts)"
"Organisation et projets","members.delete","Retirer un membre moins privilégié de l’organisation.","Organisation","—","Oui","Oui","—","—","—","—","—","—","[src/components/iam/access-console.access-console.view.section-1.section-3.branch-2.tsx](../src/components/iam/access-console.access-console.view.section-1.section-3.branch-2.tsx)<br>[src/modules/iam/member-transfer.member-transfer-modes.ts](../src/modules/iam/member-transfer.member-transfer-modes.ts)<br>[src/modules/iam/use-cases.remove-organization-member.ts](../src/modules/iam/use-cases.remove-organization-member.ts)"
"Organisation et projets","teams.create","Créer une équipe dans l’organisation.","Organisation","—","Oui","Oui","—","—","—","—","—","—","[src/components/iam/access-console.access-console.view.section-1.section-2.tsx](../src/components/iam/access-console.access-console.view.section-1.section-2.tsx)<br>[src/modules/iam/use-cases.add-organization-member.ts](../src/modules/iam/use-cases.add-organization-member.ts)"
"Organisation et projets","teams.update","Ajouter ou retirer des membres dans la limite des droits délégables.","Organisation","—","Oui","Oui","—","—","—","—","—","—","[src/components/iam/person-team-memberships.tsx](../src/components/iam/person-team-memberships.tsx)<br>[src/modules/iam/use-cases.add-organization-member.ts](../src/modules/iam/use-cases.add-organization-member.ts)<br>[src/modules/iam/use-cases.get-access-console-snapshot.ts](../src/modules/iam/use-cases.get-access-console-snapshot.ts)<br>[src/modules/iam/use-cases.remove-team-member.ts](../src/modules/iam/use-cases.remove-team-member.ts)<br>[src/modules/iam/use-cases.update-team.ts](../src/modules/iam/use-cases.update-team.ts)"
"Organisation et projets","teams.delete","Supprimer une équipe dont vous pouvez administrer les droits.","Organisation","—","Oui","Oui","—","—","—","—","—","—","[src/components/iam/access-console.access-console.view.section-1.section-2.tsx](../src/components/iam/access-console.access-console.view.section-1.section-2.tsx)<br>[src/modules/iam/use-cases.remove-team-member.ts](../src/modules/iam/use-cases.remove-team-member.ts)"
"Organisation et projets","organization.get","Consulter les paramètres et la structure.","Organisation","—","Oui","Oui","Oui","—","—","—","—","—","[src/modules/organization/branding.ts](../src/modules/organization/branding.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","organization.update","Modifier les paramètres de l’organisation.","Organisation","—","Oui","Oui","—","—","—","—","—","—","[src/modules/iam/scope-lifecycle.normalized-slug.ts](../src/modules/iam/scope-lifecycle.normalized-slug.ts)<br>[src/modules/iam/scope-lifecycle.rename-organization.ts](../src/modules/iam/scope-lifecycle.rename-organization.ts)<br>[src/modules/iam/use-cases.get-access-console-snapshot.ts](../src/modules/iam/use-cases.get-access-console-snapshot.ts)<br>[src/modules/organization/branding.ts](../src/modules/organization/branding.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","workspaces.get","Ouvrir les projets de l’organisation.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","Oui","—","—","[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/app/api/workspaces/route.ts](../src/app/api/workspaces/route.ts)<br>[src/components/iam/access-console.access-console.tsx](../src/components/iam/access-console.access-console.tsx)<br>[src/components/iam/access-console.access-console.view.section-1.section-3.branch-5.branch-2.tsx](../src/components/iam/access-console.access-console.view.section-1.section-3.branch-5.branch-2.tsx)<br>[src/components/iam/person-project-role.tsx](../src/components/iam/person-project-role.tsx)<br>[src/components/iam/principal-project-assignments.tsx](../src/components/iam/principal-project-assignments.tsx)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/iam/resource-direct-sharing.ts](../src/modules/iam/resource-direct-sharing.ts)<br>[src/modules/workspace/use-cases.get-workspaces-by-user-id.ts](../src/modules/workspace/use-cases.get-workspaces-by-user-id.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","workspaces.create","Créer de nouveaux projets dans l’organisation.","Organisation","—","Oui","Oui","—","—","—","—","—","—","[src/modules/iam/use-cases.get-access-console-snapshot.ts](../src/modules/iam/use-cases.get-access-console-snapshot.ts)<br>[src/modules/iam/use-cases.iam-operation-error.ts](../src/modules/iam/use-cases.iam-operation-error.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","workspaces.update","Modifier les paramètres et le cycle de vie des projets.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/iam/scope-lifecycle.normalized-slug.ts](../src/modules/iam/scope-lifecycle.normalized-slug.ts)<br>[src/modules/iam/use-cases.get-access-console-snapshot.ts](../src/modules/iam/use-cases.get-access-console-snapshot.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","members.manage","Ajouter des membres et modifier leurs accès.","Organisation","members.create, members.delete","Oui","Oui","—","—","—","—","—","—","[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","teams.manage","Créer des équipes et gérer leurs membres.","Organisation","teams.create, teams.update, teams.delete","Oui","Oui","—","—","—","—","—","—","[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Organisation et projets","roles.manage","Créer des rôles et les attribuer aux membres ou équipes.","Organisation → projet → ressource du domaine","roles.get, roles.create, roles.update, roles.delete, roles.assign, roles.revoke","Oui","Oui","—","Oui","—","—","—","—","[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agents.test","Exécuter les tests d’un assistant.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","Oui","[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agents.manage","Toutes les actions d’assistant enregistrées dans le catalogue.","Organisation → projet → ressource du domaine","agents.test, agents.list, agents.get, agents.chat, agents.create, agents.update, agents.delete, agents.delegate","Oui","Oui","—","Oui","—","—","—","—","[src/modules/agent/use-cases.get-visible-agent-by-id.ts](../src/modules/agent/use-cases.get-visible-agent-by-id.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agents.list","Voir les assistants disponibles dans le projet.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","Oui","—","—","[src/app/[locale]/(workspace)/agents/[agentId]/capabilities-tab.capabilities-tab.tsx](../src/app/[locale]/(workspace)/agents/[agentId]/capabilities-tab.capabilities-tab.tsx)<br>[src/app/[locale]/(workspace)/agents/[agentId]/delete-dialog.tsx](../src/app/[locale]/(workspace)/agents/[agentId]/delete-dialog.tsx)<br>[src/app/[locale]/(workspace)/agents/page.agents-page.tsx](../src/app/[locale]/(workspace)/agents/page.agents-page.tsx)<br>[src/app/api/workspace/agents/preferences/route.ts](../src/app/api/workspace/agents/preferences/route.ts)<br>[src/app/api/workspace/agents/route.get.ts](../src/app/api/workspace/agents/route.get.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agents.get","Ouvrir un assistant et consulter sa configuration.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","Oui","—","Oui","[src/app/api/workspace/[agentId]/chat/route.post.ts](../src/app/api/workspace/[agentId]/chat/route.post.ts)<br>[src/app/api/workspace/agents/[agentId]/agent-route-access.ts](../src/app/api/workspace/agents/[agentId]/agent-route-access.ts)<br>[src/app/api/workspace/agents/[agentId]/delegations/route.ts](../src/app/api/workspace/agents/[agentId]/delegations/route.ts)<br>[src/app/api/workspace/agents/[agentId]/knowledge/route.ts](../src/app/api/workspace/agents/[agentId]/knowledge/route.ts)<br>[src/app/api/workspace/agents/[agentId]/route.route-params-schema.ts](../src/app/api/workspace/agents/[agentId]/route.route-params-schema.ts)<br>[src/app/api/workspace/agents/[agentId]/runs/[runId]/route.ts](../src/app/api/workspace/agents/[agentId]/runs/[runId]/route.ts)<br>[src/app/api/workspace/agents/[agentId]/runs/route.ts](../src/app/api/workspace/agents/[agentId]/runs/route.ts)<br>[src/app/api/workspace/agents/[agentId]/skills/route.ts](../src/app/api/workspace/agents/[agentId]/skills/route.ts)<br>[src/app/api/workspace/agents/[agentId]/tools/route.route-params-schema.ts](../src/app/api/workspace/agents/[agentId]/tools/route.route-params-schema.ts)<br>[src/app/api/workspace/agents/[agentId]/versions/route.ts](../src/app/api/workspace/agents/[agentId]/versions/route.ts)<br>[src/app/api/workspace/skills/route.ts](../src/app/api/workspace/skills/route.ts)<br>[src/modules/agent/use-cases.get-visible-agent-by-id.ts](../src/modules/agent/use-cases.get-visible-agent-by-id.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agents.chat","Démarrer des conversations et exécuter les assistants.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","Oui","[src/app/api/workspace/[agentId]/chat/route-support.create-builtin-tool-execute.ts](../src/app/api/workspace/[agentId]/chat/route-support.create-builtin-tool-execute.ts)<br>[src/app/api/workspace/[agentId]/chat/route.post.ts](../src/app/api/workspace/[agentId]/chat/route.post.ts)<br>[src/app/api/workspace/agents/[agentId]/runs/[runId]/route.ts](../src/app/api/workspace/agents/[agentId]/runs/[runId]/route.ts)<br>[src/app/api/workspace/agents/[agentId]/runs/route.ts](../src/app/api/workspace/agents/[agentId]/runs/route.ts)<br>[src/app/api/workspace/chat-attachments/upload/route.ts](../src/app/api/workspace/chat-attachments/upload/route.ts)<br>[src/app/api/workspace/code-projects/[projectId]/files/route.ts](../src/app/api/workspace/code-projects/[projectId]/files/route.ts)<br>[src/app/api/workspace/code-projects/upload/route.ts](../src/app/api/workspace/code-projects/upload/route.ts)<br>[src/app/api/workspace/github/branches/route.ts](../src/app/api/workspace/github/branches/route.ts)<br>[src/app/api/workspace/github/callback/route.ts](../src/app/api/workspace/github/callback/route.ts)<br>[src/app/api/workspace/github/connect/route.ts](../src/app/api/workspace/github/connect/route.ts)<br>[src/app/api/workspace/github/github-route-status.ts](../src/app/api/workspace/github/github-route-status.ts)<br>[src/app/api/workspace/github/publish/route.ts](../src/app/api/workspace/github/publish/route.ts)<br>[src/app/api/workspace/github/sync/route.ts](../src/app/api/workspace/github/sync/route.ts)<br>[src/app/api/workspace/scheduled-tasks/[taskId]/route.ts](../src/app/api/workspace/scheduled-tasks/[taskId]/route.ts)<br>[src/app/api/workspace/scheduled-tasks/route.ts](../src/app/api/workspace/scheduled-tasks/route.ts)<br>[src/app/api/workspace/tool-invocations/[invocationId]/approve/route.post.ts](../src/app/api/workspace/tool-invocations/[invocationId]/approve/route.post.ts)<br>[src/app/api/workspace/tool-invocations/[invocationId]/reject/route.ts](../src/app/api/workspace/tool-invocations/[invocationId]/reject/route.ts)<br>[src/modules/agent/runtime-executor.execute-agent.ts](../src/modules/agent/runtime-executor.execute-agent.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/chat/conversation-asset-access.ts](../src/modules/chat/conversation-asset-access.ts)<br>[src/modules/openapi/openapi.open-api-object.ts](../src/modules/openapi/openapi.open-api-object.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agents.create","Créer et configurer des assistants.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/agents/[agentId]/clone/route.ts](../src/app/api/workspace/agents/[agentId]/clone/route.ts)<br>[src/app/api/workspace/agents/[agentId]/route.route-params-schema.ts](../src/app/api/workspace/agents/[agentId]/route.route-params-schema.ts)<br>[src/app/api/workspace/agents/route.get.ts](../src/app/api/workspace/agents/route.get.ts)<br>[src/app/api/workspace/agents/route.post.ts](../src/app/api/workspace/agents/route.post.ts)<br>[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/resource-package/permissions.ts](../src/modules/resource-package/permissions.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agents.update","Modifier des assistants existants.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/agents/[agentId]/agent-route-access.ts](../src/app/api/workspace/agents/[agentId]/agent-route-access.ts)<br>[src/app/api/workspace/agents/[agentId]/delegations/route.ts](../src/app/api/workspace/agents/[agentId]/delegations/route.ts)<br>[src/app/api/workspace/agents/[agentId]/knowledge/route.ts](../src/app/api/workspace/agents/[agentId]/knowledge/route.ts)<br>[src/app/api/workspace/agents/[agentId]/route.patch.ts](../src/app/api/workspace/agents/[agentId]/route.patch.ts)<br>[src/app/api/workspace/agents/[agentId]/route.route-params-schema.ts](../src/app/api/workspace/agents/[agentId]/route.route-params-schema.ts)<br>[src/app/api/workspace/agents/[agentId]/skills/route.ts](../src/app/api/workspace/agents/[agentId]/skills/route.ts)<br>[src/app/api/workspace/agents/[agentId]/tools/route.put.ts](../src/app/api/workspace/agents/[agentId]/tools/route.put.ts)<br>[src/app/api/workspace/agents/order/route.ts](../src/app/api/workspace/agents/order/route.ts)<br>[src/app/api/workspace/agents/preferences/route.ts](../src/app/api/workspace/agents/preferences/route.ts)<br>[src/app/api/workspace/agents/route.get.ts](../src/app/api/workspace/agents/route.get.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/iam/resource-direct-sharing.ts](../src/modules/iam/resource-direct-sharing.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agents.delete","Supprimer définitivement des assistants.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/agents/[agentId]/route.patch.ts](../src/app/api/workspace/agents/[agentId]/route.patch.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agents.delegate","Autoriser les orchestrateurs à lancer des assistants spécialistes.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/modules/agent/runtime-executor.build-delegation-tools.ts](../src/modules/agent/runtime-executor.build-delegation-tools.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agentVersions.create","Enregistrer de nouvelles versions d’assistants.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","agentVersions.manage","Administrer toutes les versions d’assistants.","Organisation → projet → ressource du domaine","agentVersions.create","Oui","Oui","—","Oui","—","—","—","—","[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","conversations.create","Démarrer de nouvelles conversations dans le projet.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","conversations.viewOwn","Lire les conversations créées par le membre.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","Oui","—","—","—","[src/app/api/workspace/conversation-folders/[folderId]/route.ts](../src/app/api/workspace/conversation-folders/[folderId]/route.ts)<br>[src/app/api/workspace/conversation-folders/route.ts](../src/app/api/workspace/conversation-folders/route.ts)<br>[src/app/api/workspace/conversations/[conversationId]/conversation-route-access.ts](../src/app/api/workspace/conversations/[conversationId]/conversation-route-access.ts)<br>[src/app/api/workspace/conversations/[conversationId]/forks/route.ts](../src/app/api/workspace/conversations/[conversationId]/forks/route.ts)<br>[src/app/api/workspace/conversations/[conversationId]/messages/[messageId]/route.ts](../src/app/api/workspace/conversations/[conversationId]/messages/[messageId]/route.ts)<br>[src/app/api/workspace/conversations/[conversationId]/read/route.ts](../src/app/api/workspace/conversations/[conversationId]/read/route.ts)<br>[src/app/api/workspace/conversations/[conversationId]/route.ts](../src/app/api/workspace/conversations/[conversationId]/route.ts)<br>[src/app/api/workspace/conversations/[conversationId]/share/route.ts](../src/app/api/workspace/conversations/[conversationId]/share/route.ts)<br>[src/app/api/workspace/conversations/[conversationId]/skip-suggestions/route.ts](../src/app/api/workspace/conversations/[conversationId]/skip-suggestions/route.ts)<br>[src/app/api/workspace/conversations/[conversationId]/stop/route.ts](../src/app/api/workspace/conversations/[conversationId]/stop/route.ts)<br>[src/app/api/workspace/conversations/[conversationId]/stream/route.ts](../src/app/api/workspace/conversations/[conversationId]/stream/route.ts)<br>[src/app/api/workspace/conversations/reorder/route.ts](../src/app/api/workspace/conversations/reorder/route.ts)<br>[src/app/api/workspace/conversations/route.get.ts](../src/app/api/workspace/conversations/route.get.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/modules/chat/conversation-asset-access.ts](../src/modules/chat/conversation-asset-access.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Assistants et conversations","conversations.manage","Administrer les conversations du projet.","Organisation → projet → ressource du domaine","conversations.create, conversations.viewOwn","Oui","Oui","—","Oui","—","—","—","—","[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","providers.create","Créer une connexion à un fournisseur.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/providers/route.ts](../src/app/api/workspace/providers/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","providers.update","Modifier les paramètres d’un fournisseur.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/agents/route.get.ts](../src/app/api/workspace/agents/route.get.ts)<br>[src/app/api/workspace/permissions/route.ts](../src/app/api/workspace/permissions/route.ts)<br>[src/app/api/workspace/providers/[providerId]/route.ts](../src/app/api/workspace/providers/[providerId]/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
"Modèles, outils et connaissances","providers.delete","Supprimer une connexion à un fournisseur.","Organisation → projet → ressource du domaine","—","Oui","Oui","—","Oui","—","—","—","—","[src/app/api/workspace/providers/[providerId]/route.ts](../src/app/api/workspace/providers/[providerId]/route.ts)<br>[src/modules/api-keys/scopes.ts](../src/modules/api-keys/scopes.ts)<br>[src/server/domain/entities/iam.ts](../src/server/domain/entities/iam.ts)"
